,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,16S,fert_level,crop,timepoint,doe,addition,field_rep
67b,22.92592953,40,21.70774885,40,40,40,40,22.72952486,20.85280199,21.71780818,40,19.40335382,21.94367286,40,21.75670293,40,22.87799668,40,40,22.27032492,40,22.1397086,40,40,22.73950571,40,40,40,40,40,21.91773219,40,40,22.58042672,40,21.79668868,40,40,19.32631571,40,40,40,22.93500214,40,40,40,22.34692121,40,40,40,21.83828724,21.87211364,40,40,21.70781118,40,21.63861915,21.48617122,40,40,40,22.86377836,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,12.54571637,0,mxg,b,5,control,4
64b,21.4740118,40,20.09836243,21.87149348,18.17636097,22.91918006,22.89365775,21.68545528,19.85490034,19.20020654,18.74149105,17.97093111,21.03466043,19.78206142,20.26292573,18.56085279,19.38824386,20.02341109,21.65534085,19.92890958,40,18.51580236,19.76931565,22.01937949,18.3258463,19.49873967,19.04777231,40,20.4634338,40,40,21.70331916,19.58211031,19.5667019,40,19.1044203,18.88298182,40,18.17359866,20.12982786,22.39747442,19.85508014,19.03279417,21.04878601,19.56065582,19.87241918,18.98455441,40,20.30376264,40,18.82464537,19.23269022,19.98867138,21.24201688,20.06742633,18.99844788,18.93687981,19.60632922,20.03226093,19.00584123,20.35910887,21.04688538,21.57615717,40,21.26044023,18.81372285,20.64575983,21.15803296,40,20.49097046,22.43009171,22.1028426,40,20.30270182,40,40,40,40,13.82433504,336,mxg,b,5,control,4
14f,40,40,22.97317851,40,20.66757903,40,22.1397515,40,21.34662875,40,20.84576605,18.82302762,22.57766539,40,40,21.81138648,40,40,40,22.20586295,40,21.79286896,40,22.66609801,20.39169772,40,40,40,40,40,40,40,40,21.38227418,40,40,40,40,18.97978747,40,40,40,21.83484981,21.86122849,20.5035575,21.17291692,21.73261336,40,20.4516173,40,21.59106034,22.34665189,40,40,40,21.92277428,20.51841026,40,40,20.82974448,40,40,40,40,40,20.8800323,40,40,40,22.84864104,40,40,40,22.93931029,40,40,40,40,14.53941187,336,corn,f,87,carbon,1
16b,22.27228794,40,20.8783073,22.21061931,19.31831011,40,22.0655366,22.50311023,19.10015177,21.27545135,19.02169622,18.08354887,22.81691023,21.16928218,20.00856644,18.99376005,21.20251655,21.62336848,40,20.92419366,40,19.30083951,21.80264603,21.18554242,20.64002313,19.73571589,19.60066067,40,21.06950523,40,40,20.99767802,20.22951237,19.72361472,40,20.95322624,21.43771511,40,18.34870075,40,21.73696888,20.43367118,20.88293064,21.03370959,19.06890147,20.40746096,19.64792323,40,20.01277955,22.78632067,19.54136035,19.24983834,22.49940589,20.68417224,40,19.76655026,19.44831027,20.04239965,22.47101821,21.02436829,40,22.79887333,40,40,40,19.9548,21.59948513,40,40,20.05476033,40,21.41583267,40,20.84643741,40,40,40,40,13.32758187,336,corn,b,5,control,2
53b,40,40,40,40,21.28325743,40,40,40,22.52659402,40,21.38575051,18.56450994,40,40,40,20.58971878,40,21.97235022,40,40,40,40,40,40,20.80754976,40,21.28158037,40,22.92436432,40,40,40,40,40,40,40,21.92034738,40,18.86789161,40,40,40,21.97173232,22.44991866,20.9491833,40,21.22053002,40,21.26237177,40,22.75958749,22.17990853,40,40,40,21.02705817,21.22483281,40,40,22.34522741,40,40,40,40,40,40,22.91488775,40,40,40,22.70139881,40,40,40,40,40,40,40,13.07331631,0,mxg,b,5,carbon,2
7f,40,40,21.91412811,40,40,40,40,40,22.11696432,40,21.45526849,18.43730782,40,40,40,40,21.50149885,40,40,40,40,40,22.21443022,40,20.60995022,40,22.1554428,40,21.63992869,40,40,22.19515621,22.06728069,40,40,22.14273055,40,40,18.65809673,22.27939937,40,40,40,40,22.21793794,40,22.61962728,40,21.14008881,40,40,22.70554526,40,22.36555831,40,40,21.11697601,21.63429066,40,22.67010834,40,40,40,40,40,22.54523587,22.87518927,40,40,22.04887898,40,40,40,40,40,40,40,40,13.2796596,0,corn,f,87,control,2
25b,20.77109082,21.54900579,20.31721353,40,18.77789987,40,40,18.81783236,18.37755454,19.61669746,19.099871,17.74817571,19.46636596,20.34311737,19.33349291,19.18149998,20.5198145,22.41472793,22.24222372,20.22489589,40,19.18675044,21.2389451,19.5650578,18.67326585,20.78952757,20.71372568,40,40,40,20.57325456,20.11366054,21.71927219,40,20.66119022,19.39845005,20.64291201,40,17.73863674,40,40,40,19.0639797,22.66300968,40,40,22.07882933,40,40,40,19.49419393,18.95360066,40,21.02491852,19.87262816,20.21749509,18.53315218,19.63660278,20.08870118,21.06558269,20.66370209,40,20.99381987,22.96797331,40,19.19961422,21.23298373,21.61961457,40,40,40,22.59698353,40,20.51663208,40,40,40,40,13.07322744,336,corn,b,5,control,4
52b,40,40,22.29295544,40,40,40,40,22.76614866,40,22.00216807,21.07615826,18.89278426,40,40,40,40,40,40,40,22.63162243,40,22.08375876,40,40,21.74188565,40,21.92929296,40,40,40,40,40,40,40,40,22.0247135,40,40,18.74072562,40,22.75576587,40,22.7811355,40,40,22.50800444,21.16779231,40,21.43561482,40,20.944127,21.78162882,40,40,40,21.56271335,22.07428508,40,40,40,40,40,40,40,40,21.49916976,40,40,40,40,40,22.78862004,40,40,40,40,40,40,13.2181543,0,mxg,b,5,control,2
67f,40,40,40,40,21.72872564,40,40,21.80348169,20.91521301,40,22.73778195,18.61857607,22.6002191,22.35134241,20.43772864,20.07274507,22.28945779,40,40,40,40,40,40,22.04904692,22.53934248,40,22.0371759,40,40,40,40,21.08072555,40,40,40,22.90927673,40,40,19.37664456,40,40,40,21.63397802,40,40,40,40,40,40,40,21.29125053,21.91681034,40,40,22.93546765,40,22.57948988,40,40,40,40,21.97162355,40,40,22.42487161,21.63844313,40,40,40,40,40,40,40,40,40,40,40,40,13.15493755,0,mxg,f,87,control,4
37f,20.47328339,21.91342395,20.61471599,22.37225377,18.74698739,40,40,19.10796906,18.61899148,20.19255328,18.62582121,17.69017495,20.02499575,19.59264755,18.16926805,19.64381118,19.60260859,20.93789361,22.31687736,19.4120411,40,18.15699121,20.12593261,19.84017746,18.73307672,19.87329325,20.61307852,40,21.10558693,40,40,19.95884164,22.1246555,21.15250314,22.22396284,19.90735484,20.62302493,40,18.28077944,40,40,22.31606093,19.03692692,20.99511813,40,21.93964687,20.91189876,40,40,40,19.25718352,18.90286392,40,20.232313,19.82649286,21.37500915,18.79248894,18.90968186,20.2504321,20.11466216,21.48111391,21.65483207,21.74602237,40,22.29159981,19.86994848,20.39628594,20.72685514,40,40,40,40,40,19.89686454,40,40,40,40,13.55797708,336,mxg,f,87,control,1
22b,20.79633626,22.72024729,22.01498579,40,18.78969031,40,40,20.05299979,18.64225632,20.29790238,18.14106865,17.68742873,19.1563683,20.49799219,19.13024703,18.70901823,21.62179784,21.52557784,22.93403515,20.97952127,40,18.91704472,20.58428179,20.20258647,18.33463688,20.37348273,21.4088433,40,22.87598616,40,22.29121156,19.97783964,22.37892273,40,22.06825735,21.00868865,40,40,17.7891577,40,40,40,19.60266775,21.40564408,40,22.29348855,40,40,40,40,18.66842005,19.30634619,40,21.41650953,20.33794247,21.92430064,18.58563296,19.6554717,20.45743204,22.18051286,21.70418219,40,22.68560225,40,40,18.8438154,20.76759605,20.12320057,40,40,40,40,40,20.57174473,40,40,40,40,13.0363846,336,corn,b,5,control,3
37b,20.12277828,21.04414273,20.7742823,22.30280525,18.3977226,21.75456863,22.57169178,18.27899954,18.26779649,18.98133952,18.01655769,17.17093893,19.03053259,18.78796606,18.39046047,18.57577537,19.10861287,20.41182279,22.03825643,18.63072907,40,18.77192169,19.34460277,18.89476746,17.81305616,20.60198,20.00618763,40,20.84838544,40,22.54518135,19.42189029,20.84283465,20.62416546,20.35332442,19.25591817,19.57652614,21.73905574,17.23888414,21.86394992,40,40,18.46723092,20.70636818,22.83809602,40,21.61173052,40,40,40,18.61314396,18.47506158,40,19.8331608,19.45891581,19.58964204,17.91801434,19.08188138,19.7138307,20.27370009,20.48263456,20.92502601,19.66268429,40,22.13794952,19.66440337,20.47918122,19.10618356,40,40,21.01974339,40,40,19.10136882,40,40,40,40,12.89817758,336,mxg,b,5,control,1
44b,40,40,22.43952789,40,19.97892955,40,22.94251649,40,20.5581301,22.72232209,20.58161338,18.92498312,21.09715628,22.82238913,22.82868822,19.83699017,40,40,40,21.88976812,40,40,40,40,20.57053828,21.68256139,21.04397098,40,22.98552483,40,40,21.93888108,20.73067847,21.19893417,40,40,21.2027711,40,19.02312253,40,21.16370428,21.43384241,20.62370982,40,20.89438871,20.87178131,20.91115703,40,21.58438793,40,20.79600938,21.6776139,40,22.04466829,21.80169265,20.61195972,22.08410651,22.75719265,40,21.67645284,40,40,40,40,40,20.84213595,40,40,40,21.59573582,40,40,40,40,40,40,40,40,13.66746323,336,mxg,b,5,carbon,2
50b,40,40,21.15255537,40,20.51990177,22.39987767,40,22.70173746,22.10794734,22.53629668,21.67465455,18.03869723,40,21.24687737,21.69170777,19.89445006,40,22.06137118,40,20.90139598,40,40,40,40,40,40,22.34364039,22.98533178,20.85957002,40,40,40,40,22.32174452,40,19.84329694,40,40,18.64825774,40,40,40,21.80644855,40,40,22.11033178,22.29927058,40,40,21.92492034,21.21928568,22.26602151,40,40,21.78864987,22.37530513,20.12002941,22.0023871,40,40,40,40,21.87631571,40,40,21.06459141,40,22.85557341,40,40,40,22.58886074,40,40,40,40,40,40,12.74325897,0,mxg,b,5,carbon,1
57b,20.53237942,21.05363908,19.25123151,21.80425559,17.65709634,40,22.11802325,18.93987888,17.50834692,18.78595171,17.6342059,17.12150328,19.23756354,18.86929276,17.77080542,17.90214474,20.34359624,19.81884937,22.89215642,19.69730662,40,17.95851243,19.25022137,18.48440733,17.58645012,19.30092707,19.51770159,40,20.59293858,40,20.1534916,19.20624581,22.46739189,19.96711059,19.48985679,19.894434,20.07823987,22.67218233,17.49556067,40,40,40,18.24224749,21.42888301,22.68489484,40,20.3891714,40,22.13201548,40,17.8844496,17.77220266,40,19.84750504,19.45930657,20.60305869,17.70128356,19.07002091,19.55874318,20.60077373,20.56161009,20.46342591,20.87240619,40,20.89290194,18.00207852,20.00530659,19.53614796,40,40,21.15483542,21.95020106,40,21.04901848,40,40,40,40,13.0214451,336,mxg,b,5,nitrogen,3
24f,40,40,21.70179531,40,20.41069366,40,40,20.18776035,20.39728209,20.47136482,19.75130201,17.69323579,20.36508752,22.13188403,19.58807144,19.8431035,22.58576685,21.88941062,40,21.31013836,40,20.53683538,21.10831051,19.58070429,19.76569043,21.40418255,21.44233152,40,40,40,22.57463294,20.66134373,40,40,21.40763419,22.56554384,22.02737532,40,17.89885729,40,40,40,19.66095943,22.22836415,40,40,22.43161353,40,40,40,19.56811106,20.1389203,40,21.1306819,22.14011904,40,19.78140869,22.37641401,21.95913075,22.48668629,21.85218539,40,40,40,40,19.55523945,22.13449109,21.73100885,40,40,40,40,40,21.76827686,40,40,40,40,13.73399755,336,corn,f,87,nitrogen,3
7b,22.812472,40,22.2332364,40,22.60385867,40,40,40,40,40,21.42474271,18.24763102,40,21.92381868,22.63401641,21.69634228,40,40,40,22.21748661,40,20.56502039,21.32453999,40,20.36431029,21.21358743,40,40,40,40,40,22.40345095,40,22.6110756,40,21.91810885,40,40,18.55715734,40,40,22.65003744,40,40,22.19200686,22.53492287,21.10318701,40,40,40,40,40,40,40,40,21.69123547,21.10820565,22.02718055,40,40,40,40,40,40,40,40,22.70876281,40,40,40,40,40,40,40,40,40,40,40,13.11650262,0,corn,b,5,control,2
