,amoA.001,amoA.002,amoA.003,amoA.004,amoA.005,amoA.006,amoA.007,amoA.008,amoA.009,amoA.010,amoA.011,amoA.012,amoA.013,amoA.014,amoA.015,amoA.016,amoA.017,amoA.018,amoA.019,amoA.020,amoA.021,amoA.022,amoA.023,amoA.024,amoA.025,amoA.026,amoA.027,amoA.028,amoA.029,amoA.030,amoA.031,amoA.032,amoA.033,amoA.034,amoA.035,amoA.036,amoA.037,amoA.038,amoA.039,amoA.040,amoA.041,amoA.042,amoA.043,amoA.044,amoA.045,amoA.046,amoA.047,amoA.048,amoA.049,amoA.050,amoA.051,amoA.052,amoA.053,amoA.054,amoA.055,amoA.056,amoA.057,amoA.058,amoA.059,amoA.060,amoA.061,amoA.062,amoA.063,amoA.064,amoA.065,amoA.066,amoA.067,amoA.068,amoA.069,amoA.070,amoA.071,amoA.072,amoA.073,amoA.074,amoA.075,amoA.076,amoA.077,amoA.078,16S,fert_level,crop,timepoint,doe,addition,field_rep
49f,40,22.6737667,40,40,21.56692151,40,40,22.96135309,40,22.73746035,22.72140402,18.81816786,40,40,40,21.75211389,40,22.53709656,40,22.09898118,40,40,21.30777041,40,21.98470643,40,21.58439548,40,21.16218953,40,40,40,40,21.86493692,21.50653301,40,40,22.68347376,19.0839045,40,40,40,22.63907559,40,40,40,22.11853763,40,40,40,40,22.12088829,40,40,21.9815154,21.48903907,22.14611297,21.28713573,40,40,40,40,40,40,40,21.21906873,40,40,40,40,40,40,40,40,40,40,40,40,13.28639094,0,mxg,f,87,control,1
13b,20.92005224,40,21.94161233,40,22.16749089,40,40,40,20.02404818,40,20.80957205,18.59886312,21.54714402,40,40,19.98595162,21.72852147,40,40,21.07597977,40,20.21659367,40,40,20.13039586,21.98092644,21.04747806,40,40,40,40,21.94220165,21.20292875,21.26613502,40,22.87684134,20.33280365,40,18.66458726,40,21.87832855,20.26863018,20.40761719,22.22980184,19.53097736,20.06445424,19.93618757,40,20.47949035,40,19.80392548,20.00888456,40,21.78892137,40,19.78083021,21.1356846,40,40,21.05461159,40,40,40,40,40,21.30937828,40,40,40,20.78713979,40,40,40,22.40162103,40,40,40,40,14.31449433,336,corn,b,5,control,1
25f,20.81972376,40,19.92594648,40,18.59388919,40,40,20.87508091,18.73891726,19.74470693,19.26070823,17.76588572,19.91155964,20.71644932,18.58548664,19.5941658,20.48328119,20.36641585,22.20582353,20.21314175,40,18.64003035,20.50823782,19.54335425,18.35646117,19.68969083,19.37497578,40,21.84371634,40,21.16583077,19.77077515,40,22.02906687,21.63595496,20.76389381,21.36861874,40,17.88101828,22.39540236,40,40,20.27041672,22.42653519,40,40,22.42180143,40,40,40,19.4508295,18.84998882,40,22.07190808,20.64162472,20.57997036,18.70186072,19.72466279,20.22776409,21.2130724,22.42566576,40,22.04012226,22.89186987,22.68520123,18.82000403,21.45071733,19.49942176,40,40,40,22.29634361,40,20.11447606,40,40,40,40,13.22327885,336,corn,f,87,control,4
22f,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,21.43852217,336,corn,f,87,control,3
49b,40,40,40,40,22.697897,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,18.41173441,0,mxg,b,5,control,1
65f,21.90638049,40,21.52763899,40,19.38090634,40,22.01950119,40,20.51258343,21.2722672,19.33743049,17.8919713,22.30434166,21.69090539,20.86674411,19.7300769,20.79285652,21.69911755,21.89885727,20.24755738,40,20.71625239,20.84367044,21.466992,19.01365627,21.07743845,20.03692019,40,20.58137508,40,40,22.31031912,20.08985038,20.27300723,21.99990015,20.72119805,19.73443569,40,18.23355365,22.41323108,40,20.99390534,20.45553782,22.71311943,19.6033117,19.33158458,20.2280126,40,20.25237799,40,19.95517856,19.85076286,22.08960794,21.36775361,21.36982575,19.76468143,19.15038194,22.19776672,22.26380593,19.9362898,22.26259882,22.15654104,40,40,20.96739239,19.36031495,40,22.45684387,40,20.79153409,40,22.60713612,40,22.32904209,40,40,40,40,13.96469677,336,mxg,f,87,carbon,4
51f,22.90958426,40,40,40,20.72820286,40,40,40,21.545147,40,20.1792319,18.71098418,40,21.53352053,21.16539882,20.88177083,22.16025458,40,40,22.88878151,40,20.99392803,40,40,40,21.95524944,20.86637545,40,21.98046344,40,40,40,40,40,21.7312202,22.52391036,40,40,19.99312149,40,40,40,40,40,40,40,40,40,21.08927814,40,40,21.81750709,40,40,40,21.89674265,20.93359187,40,21.76884429,40,40,21.85087792,40,40,40,22.13988599,40,40,40,40,40,40,40,40,40,40,40,40,12.98866796,0,mxg,f,87,nitrogen,1
28b,40,40,20.96134431,40,20.28573994,21.90943084,40,40,21.18187294,40,21.13314842,18.66019653,40,21.60134319,22.52938803,22.72851372,40,40,40,21.95756184,40,21.19074848,40,40,22.38550957,40,40,40,40,40,40,40,40,22.17800071,22.38711094,40,40,22.92148993,19.31147705,40,40,40,40,40,40,40,40,40,40,40,21.39490362,22.92431219,40,40,40,40,22.19413703,22.9452928,40,40,40,40,40,40,40,21.1015279,40,40,40,40,40,40,40,40,40,40,40,40,12.56335233,0,corn,b,5,control,3
26b,20.83042852,21.34092451,19.97018319,40,18.65478516,22.30863657,40,18.66914023,18.11074843,20.69877618,18.50399414,18.0031802,19.83086606,20.42257013,19.4151121,18.63449272,20.12342251,20.26365236,40,19.94826467,40,18.81525825,19.63188025,18.92594784,17.92973994,19.64350717,19.55415859,40,40,40,22.44354593,19.37079201,21.00232611,22.17858705,21.56598705,20.27880076,20.29692909,40,17.9923936,40,40,40,19.32261355,20.7372342,40,22.89720732,20.98900469,40,40,40,18.49028942,18.68234451,40,21.08006221,20.35350081,21.46698371,18.36634688,19.79440471,19.65802255,20.98406841,21.10329828,40,21.9209252,22.92949067,22.92071107,19.44739609,20.61617071,20.21958931,40,40,40,40,40,20.1842053,40,40,40,40,12.58228028,336,corn,b,5,carbon,4
39b,20.15546484,18.97530019,19.06409475,21.09189414,18.27565883,21.38088373,40,18.60126504,18.00956903,19.50546272,18.88296797,17.25571395,18.71160766,18.65669946,17.50420494,17.95324383,19.16350589,20.17325504,22.82010136,19.18283581,40,17.93725866,19.08663211,19.00018597,17.73069041,19.83510345,18.90775448,40,20.32438576,40,21.16832239,19.59742252,21.26169,20.11045437,20.32788745,19.18343721,19.79415002,22.84167498,17.83878347,21.75418536,40,40,18.22963535,20.19687054,40,21.99367339,21.18534544,40,40,40,17.774978,18.03959599,40,20.12367928,19.46556501,19.63204735,18.01616432,18.37755158,19.16452573,20.9632218,20.35231726,21.15845209,21.12648734,40,21.99845948,18.24342608,18.9567685,18.60410682,40,40,21.66740881,22.53370599,40,19.57953299,40,40,40,40,12.43984358,336,mxg,b,5,nitrogen,1
